Skill,Skill Cluster,Category,Type
Matrix Factorization,Machine Learning,generic,Concept
Maya,3D Modeling,generic,Software
MediaPipe,Computer Vision,specific,Framework
Merkmalsextraktion (Feature Engineering),Machine Learning,specific,Concept
Meta Learning,Machine Learning,generic,Concept
Microservices,Software Architecture,generic,Concept
CNTK,Machine Learning,specific,Framework
Microsoft LUIS,Natural Language Processing,specific,Framework
Midjourney,Generative AI,specific,Model
MiniGPT-4,Generative AI,specific,Model
MLflow,MLOps,specific,Framework
MLOps,MLOps,specific,Concept
mlpack,Machine Learning,specific,Library
MLServer,Model Deployment,specific,Tool
Motion Analysis,Visual Image Recognition,generic,Concept
Motion Planning,Robotics,generic,Concept
Multi-Agent Systems,Artificial Intelligence,generic,Concept
Naive Bayes,Machine Learning,generic,Algorithm
NativeScript,Mobile Development,generic,Framework
Natural Language Generation,Natural Language Processing,specific,Concept
Natural Language Processing Systems,Natural Language Processing,specific,Concept
Natural Language Programming,Natural Language Processing,specific,Concept
Natural Language Toolkits,Natural Language Processing,specific,Library
Natural Language Understanding,Natural Language Processing,specific,Concept
Natural Language User Interface,Natural Language Processing,generic,Concept
Nearest Neighbour Algorithm,Machine Learning,specific,Algorithm
Neptune.ai,ML Experiment Tracking,specific,Tool
Neuronales Netzwerk (Neural Network),Neural Networks,specific,Concept
NLP - Natural Language Processing,Natural Language Processing,specific,Concept
NLTK,Natural Language Processing,specific,Library
NNI (Neural Network Intelligence),Hyperparameter Optimization,specific,Framework
Node,Web Technologies,generic,Runtime
Node.js,Web Technologies,generic,Runtime
NoSQL,Databases,generic,Language
Nvidia Jetson,Robotics,specific,Technology
OAuth,Web Technologies,generic,Protocol
Object Recognition,Visual Image Recognition,generic,Concept
OmniPage,Visual Image Recognition,generic,Technology
ONNX,Artificial Intelligence,specific,Framework
OpenAI Gym,Artificial Intelligence,specific,Framework
OpenCL,Programming Languages,generic,GPU Programming
OpenCV,Computer Vision,specific,Library
OpenNLP,Natural Language Processing,specific,Library
OpenVINO,Neural Networks,specific,Framework
OCR,Visual Image Recognition,generic,Technology
Optuna,Hyperparameter Optimization,specific,Library
PaddlePaddle,Neural Networks,specific,Framework
Path Analysis,Autonomous Driving,generic,Concept
Path Finding,Autonomous Driving,generic,Concept
Perceptron,Machine Learning,generic,Algorithm
Perl,Programming Languages,generic,Language
PHP,Programming Languages,generic,Language
PL/SQL,Programming Languages,generic,Language
Plotly,Visualization,specific,Library
Pose Estimation,Visual Image Recognition,generic,Concept
PowerBI,Business Intelligence,specific,Tool
PowerShell,Programming Languages,generic,Shell Scripting
Predictionio,Machine Learning,specific,Framework
Predictive Model,Machine Learning,generic,Concept 
Predictive Modeling,Machine Learning,generic,Concept 
Prolog,Programming Languages,generic,Language
Prometheus,MLOps,specific,Tool
Prompt Engineering,Generative AI,generic,Technique
Puppet,DevOps,generic,Configuration Management
